sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
31000 31 0.428209 0.44245 0.413967 0.428872 0.427545 0.719689 0.391747 0.433277 0.800785 0.704783 0.398651 -0.423593 0.820879
31200 31 0.477393 0.510614 0.444172 0.479071 0.475715 0.755001 0.379258 0.507472 0.786557 0.720102 0.395576 -0.471183 0.843385
31400 28 0.44336 0.462666 0.424055 0.447452 0.439268 0.731186 0.394169 0.455874 0.819749 0.707789 0.395284 -0.455539 0.833471
31600 30 0.415626 0.446804 0.384447 0.415849 0.415403 0.721461 0.391578 0.442643 0.806111 0.69006 0.408582 -0.398415 0.859299
31800 32 0.444836 0.431736 0.457937 0.444554 0.445118 0.712686 0.400147 0.455233 0.855431 0.726069 0.39035 -0.470449 0.830593
32000 35 0.465429 0.48117 0.449687 0.463904 0.466953 0.737059 0.378247 0.498736 0.782073 0.722841 0.391221 -0.458255 0.809698
32200 27 0.47775 0.504252 0.451249 0.477848 0.477652 0.751658 0.380922 0.522088 0.800671 0.725058 0.393438 -0.447316 0.814384
32400 27 0.454412 0.473933 0.434891 0.45395 0.454874 0.735177 0.385051 0.490437 0.801009 0.716119 0.396655 -0.437828 0.809499
32600 29 0.434579 0.460198 0.40896 0.430526 0.438631 0.725708 0.381123 0.461033 0.788539 0.704142 0.406574 -0.417826 0.835242
32800 23 0.418864 0.435633 0.402095 0.419441 0.418288 0.716193 0.395042 0.439095 0.815573 0.698847 0.40116 -0.407323 0.820174
33000 25 0.427652 0.413714 0.441589 0.426254 0.429049 0.703737 0.399275 0.435418 0.832112 0.719072 0.396075 -0.448591 0.825758
33200 26 0.425287 0.421694 0.42888 0.426373 0.424201 0.709702 0.406538 0.442957 0.864873 0.712209 0.402408 -0.441195 0.86513
33400 29 0.449969 0.43897 0.460968 0.449702 0.450236 0.717413 0.393838 0.440691 0.811002 0.728679 0.386699 -0.468594 0.791624
