"seed","mu_base","mu_inv","sigmaK","alpha","rep","N","en_var","mig1","mig2","theta1","theta2","burnin","chrom_num","r"
3383479,1e-07,0,1.5,0.2,5,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383480,1e-07,0,1.5,0.2,5,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383481,1e-07,0,1.5,0.2,5,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383482,1e-07,0,5,0.002,1,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383483,1e-07,0,5,0.002,1,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383484,1e-07,0,5,0.002,1,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383485,1e-07,0,5,0.002,1,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383486,1e-07,0,5,0.002,1,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383487,1e-07,0,5,0.002,1,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383488,1e-07,0,5,0.002,1,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383489,1e-07,0,5,0.002,1,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383490,1e-07,0,5,0.002,1,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383491,1e-07,0,5,0.002,1,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383492,1e-07,0,5,0.002,2,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383493,1e-07,0,5,0.002,2,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383494,1e-07,0,5,0.002,2,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383495,1e-07,0,5,0.002,2,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383496,1e-07,0,5,0.002,2,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383497,1e-07,0,5,0.002,2,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383498,1e-07,0,5,0.002,2,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383499,1e-07,0,5,0.002,2,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383500,1e-07,0,5,0.002,2,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383501,1e-07,0,5,0.002,2,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383502,1e-07,0,5,0.002,3,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383503,1e-07,0,5,0.002,3,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383504,1e-07,0,5,0.002,3,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383505,1e-07,0,5,0.002,3,1000,0,0.25,0.25,1,-1,4000,21,1e-06
